,State,Year,CO2 Emissions (Million Metric Tons),Sector Name
318,AL,1998,25.752872,Industrial carbon dioxide emissions
319,AL,1998,3.11758,Residential carbon dioxide emissions
320,AL,1998,31.662325,Transportation carbon dioxide emissions
321,AL,1998,133.524213,Total carbon dioxide emissions from all sectors
322,AL,1998,1.907219,Commercial carbon dioxide emissions
323,AL,1998,71.084217,Electric Power carbon dioxide emissions
324,AL,1997,2.426432,Commercial carbon dioxide emissions
325,AL,1997,134.13329,Total carbon dioxide emissions from all sectors
326,AL,1997,31.071965,Transportation carbon dioxide emissions
327,AL,1997,3.357426,Residential carbon dioxide emissions
328,AL,1997,28.253978,Industrial carbon dioxide emissions
329,AL,1997,69.02349,Electric Power carbon dioxide emissions
330,AL,1996,2.16961,Commercial carbon dioxide emissions
331,AL,1996,137.220804,Total carbon dioxide emissions from all sectors
332,AL,1996,31.449792,Transportation carbon dioxide emissions
333,AL,1996,3.741783,Residential carbon dioxide emissions
334,AL,1996,29.030997,Industrial carbon dioxide emissions
335,AL,1996,70.828623,Electric Power carbon dioxide emissions
336,AL,1995,28.088936,Industrial carbon dioxide emissions
337,AL,1995,3.32629,Residential carbon dioxide emissions
338,AL,1995,32.047638,Transportation carbon dioxide emissions
339,AL,1995,130.996584,Total carbon dioxide emissions from all sectors
340,AL,1995,1.969049,Commercial carbon dioxide emissions
341,AL,1995,65.564672,Electric Power carbon dioxide emissions
342,AL,1994,123.222498,Total carbon dioxide emissions from all sectors
343,AL,1994,2.060112,Commercial carbon dioxide emissions
344,AL,1994,30.533308,Transportation carbon dioxide emissions
345,AL,1994,3.313011,Residential carbon dioxide emissions
346,AL,1994,27.388795,Industrial carbon dioxide emissions
347,AL,1994,59.927272,Electric Power carbon dioxide emissions
348,AL,1993,2.057618,Commercial carbon dioxide emissions
349,AL,1993,125.295396,Total carbon dioxide emissions from all sectors
350,AL,1993,29.321879,Transportation carbon dioxide emissions
351,AL,1993,3.433271,Residential carbon dioxide emissions
352,AL,1993,26.477527,Industrial carbon dioxide emissions
353,AL,1993,64.005101,Electric Power carbon dioxide emissions
354,AL,1992,120.77757,Total carbon dioxide emissions from all sectors
355,AL,1992,2.112401,Commercial carbon dioxide emissions
356,AL,1992,29.330332,Transportation carbon dioxide emissions
357,AL,1992,58.230842,Electric Power carbon dioxide emissions
358,AL,1992,27.891722,Industrial carbon dioxide emissions
359,AL,1992,3.212273,Residential carbon dioxide emissions
360,AL,1991,2.003882,Commercial carbon dioxide emissions
361,AL,1991,113.931476,Total carbon dioxide emissions from all sectors
362,AL,1991,28.641712,Transportation carbon dioxide emissions
363,AL,1991,3.024493,Residential carbon dioxide emissions
364,AL,1991,24.871108,Industrial carbon dioxide emissions
365,AL,1991,55.390281,Electric Power carbon dioxide emissions
366,AL,1990,2.439619,Commercial carbon dioxide emissions
367,AL,1990,51.396481,Electric Power carbon dioxide emissions
368,AL,1990,28.044563,Transportation carbon dioxide emissions
369,AL,1990,3.10242,Residential carbon dioxide emissions
370,AL,1990,24.653103,Industrial carbon dioxide emissions
371,AL,1990,109.636186,Total carbon dioxide emissions from all sectors
372,AR,2020,3.315649,Commercial carbon dioxide emissions
373,AR,2020,54.742746,Total carbon dioxide emissions from all sectors
374,AR,2020,22.566543,Electric Power carbon dioxide emissions
375,AR,2020,1.889573,Residential carbon dioxide emissions
376,AR,2020,8.374894,Industrial carbon dioxide emissions
377,AR,2020,18.596087,Transportation carbon dioxide emissions
378,AR,2019,3.515042,Commercial carbon dioxide emissions
379,AR,2019,65.072202,Total carbon dioxide emissions from all sectors
380,AR,2019,19.740414,Transportation carbon dioxide emissions
381,AR,2019,2.066296,Residential carbon dioxide emissions
382,AR,2019,8.531637,Industrial carbon dioxide emissions
383,AR,2019,31.218813,Electric Power carbon dioxide emissions
384,AR,2018,8.620268,Industrial carbon dioxide emissions
385,AR,2018,2.131007,Residential carbon dioxide emissions
386,AR,2018,19.561082,Transportation carbon dioxide emissions
387,AR,2018,70.786146,Total carbon dioxide emissions from all sectors
388,AR,2018,3.494563,Commercial carbon dioxide emissions
389,AR,2018,36.979227,Electric Power carbon dioxide emissions
390,AR,2017,3.029643,Commercial carbon dioxide emissions
391,AR,2017,64.176257,Total carbon dioxide emissions from all sectors
392,AR,2017,19.414624,Transportation carbon dioxide emissions
393,AR,2017,1.569039,Residential carbon dioxide emissions
394,AR,2017,8.093992,Industrial carbon dioxide emissions
395,AR,2017,32.068959,Electric Power carbon dioxide emissions
396,AR,2016,2.931116,Commercial carbon dioxide emissions
397,AR,2016,62.12625,Total carbon dioxide emissions from all sectors
398,AR,2016,19.245634,Transportation carbon dioxide emissions
399,AR,2016,1.660556,Residential carbon dioxide emissions
400,AR,2016,7.815716,Industrial carbon dioxide emissions
401,AR,2016,30.473228,Electric Power carbon dioxide emissions
402,AR,2015,7.843304,Industrial carbon dioxide emissions
403,AR,2015,2.038803,Residential carbon dioxide emissions
404,AR,2015,18.797463,Transportation carbon dioxide emissions
405,AR,2015,59.053365,Total carbon dioxide emissions from all sectors
406,AR,2015,3.105793,Commercial carbon dioxide emissions
407,AR,2015,27.268002,Electric Power carbon dioxide emissions
408,AR,2014,68.913761,Total carbon dioxide emissions from all sectors
409,AR,2014,3.079219,Commercial carbon dioxide emissions
410,AR,2014,18.990724,Transportation carbon dioxide emissions
411,AR,2014,2.358555,Residential carbon dioxide emissions
412,AR,2014,8.671066,Industrial carbon dioxide emissions
413,AR,2014,35.814198,Electric Power carbon dioxide emissions
414,AR,2013,2.820765,Commercial carbon dioxide emissions
415,AR,2013,68.512147,Total carbon dioxide emissions from all sectors
416,AR,2013,18.779942,Transportation carbon dioxide emissions
417,AR,2013,2.213347,Residential carbon dioxide emissions
418,AR,2013,8.825731,Industrial carbon dioxide emissions
419,AR,2013,35.872362,Electric Power carbon dioxide emissions
420,AR,2012,66.25525,Total carbon dioxide emissions from all sectors
421,AR,2012,2.483742,Commercial carbon dioxide emissions
422,AR,2012,18.952207,Transportation carbon dioxide emissions
423,AR,2012,34.878959,Electric Power carbon dioxide emissions
424,AR,2012,8.294411,Industrial carbon dioxide emissions
425,AR,2012,1.645932,Residential carbon dioxide emissions
426,AR,2011,2.520534,Commercial carbon dioxide emissions
427,AR,2011,67.484337,Total carbon dioxide emissions from all sectors
428,AR,2011,19.608485,Transportation carbon dioxide emissions
